image_id	captions
2513260012_03d33305cf.jpg	<start> A black dog is running after a white dog in the snow . <end>
2513260012_03d33305cf.jpg	<start> Black dog chasing brown dog through snow <end>
2513260012_03d33305cf.jpg	<start> Two dogs chase each other across the snowy ground . <end>
2513260012_03d33305cf.jpg	<start> Two dogs play together in the snow . <end>
2513260012_03d33305cf.jpg	<start> Two dogs running through a low lying body of water . <end>
2903617548_d3e38d7f88.jpg	<start> A little baby plays croquet . <end>
2903617548_d3e38d7f88.jpg	<start> A little girl plays croquet next to a truck . <end>
2903617548_d3e38d7f88.jpg	<start> The child is playing croquette by the truck . <end>
2903617548_d3e38d7f88.jpg	<start> The kid is in front of a car with a put and a ball . <end>
2903617548_d3e38d7f88.jpg	<start> The little boy is playing with a croquet hammer and ball beside the car . <end>
3338291921_fe7ae0c8f8.jpg	<start> A brown dog in the snow has something hot pink in its mouth . <end>
3338291921_fe7ae0c8f8.jpg	<start> A brown dog in the snow holding a pink hat . <end>
3338291921_fe7ae0c8f8.jpg	<start> A brown dog is holding a pink shirt in the snow . <end>
3338291921_fe7ae0c8f8.jpg	<start> A dog is carrying something pink in its mouth while walking through the snow . <end>
3338291921_fe7ae0c8f8.jpg	<start> A dog with something pink in its mouth is looking forward . <end>
488416045_1c6d903fe0.jpg	<start> A brown dog is running along a beach . <end>
488416045_1c6d903fe0.jpg	<start> A brown dog wearing a black collar running across the beach . <end>
488416045_1c6d903fe0.jpg	<start> A dog walks on the sand near the water . <end>
488416045_1c6d903fe0.jpg	<start> Brown dog running on the beach . <end>
488416045_1c6d903fe0.jpg	<start> The large brown dog is running on the beach by the ocean . <end>
2644326817_8f45080b87.jpg	<start> A black and white dog with a red Frisbee standing on a sandy beach . <end>
2644326817_8f45080b87.jpg	<start> A dog drops a red disc on a beach . <end>
2644326817_8f45080b87.jpg	<start> A dog with a red Frisbee flying in the air . <end>
2644326817_8f45080b87.jpg	<start> Dog catching a red Frisbee . <end>
2644326817_8f45080b87.jpg	<start> The black dog is dropping a red disc on a beach . <end>
218342358_1755a9cce1.jpg	<start> A cyclist wearing a red helmet is riding on the pavement . <end>
218342358_1755a9cce1.jpg	<start> A girl is riding a bike on the street while wearing a red helmet . <end>
218342358_1755a9cce1.jpg	<start> A person on a bike wearing a red helmet , riding down a street . <end>
218342358_1755a9cce1.jpg	<start> A woman wears a red helmet and blue shirt as she goes for a bike ride in the shade . <end>
218342358_1755a9cce1.jpg	<start> Person in blue shirt and red helmet riding bike down the road <end>
2501968935_02f2cd8079.jpg	<start> A man dressed in a purple shirt and red bandanna smiles at the people watching him . <end>
2501968935_02f2cd8079.jpg	<start> A man on the street wearing leather chaps and a chainmail codpiece . <end>
2501968935_02f2cd8079.jpg	<start> A man wearing a purple shirt and black leather chaps poses for the camera . <end>
2501968935_02f2cd8079.jpg	<start> Man dressed in leather chaps and purple shirt stands in front of onlookers <end>
2501968935_02f2cd8079.jpg	<start> There is a man in a purple shirt , leather chaps and a red bandanna , standing near other men . <end>
2699342860_5288e203ea.jpg	<start> A boy wearing a red t-shirt is running through woodland . <end>
2699342860_5288e203ea.jpg	<start> A child runs near some trees . <end>
2699342860_5288e203ea.jpg	<start> A young boy is dancing around . <end>
2699342860_5288e203ea.jpg	<start> A young boy with a red short sleeved shirt and jeans runs by some trees . <end>
2699342860_5288e203ea.jpg	<start> The little boy in the red shirt stops to smile for the camera . <end>
2638369467_8fc251595b.jpg	<start> A girl in a white dress . <end>
2638369467_8fc251595b.jpg	<start> A little girl in white is looking back at the camera while carrying a water grenade . <end>
2638369467_8fc251595b.jpg	<start> A smiling young girl in braids is playing ball . <end>
2638369467_8fc251595b.jpg	<start> A young girl wearing white looks at the camera as she plays . <end>
2638369467_8fc251595b.jpg	<start> The girl is holding a green ball . <end>
2926786902_815a99a154.jpg	<start> A skier in a yellow jacket is airborne above the mountains . <end>
2926786902_815a99a154.jpg	<start> A skier jumps high in the air with a view of the mountains . <end>
2926786902_815a99a154.jpg	<start> A skiing man in a fluorescent jacket jumps very high and it looks as though he is flying . <end>
2926786902_815a99a154.jpg	<start> Somone is high in the air doing a ski jump . <end>
2926786902_815a99a154.jpg	<start> The skier in the green jacket and white pants appears to almost fly into the sky . <end>
2851304910_b5721199bc.jpg	<start> A photographer looks over the hills . <end>
2851304910_b5721199bc.jpg	<start> A woman in a red jacket is videotaping a natural landscape . <end>
2851304910_b5721199bc.jpg	<start> A woman with a camera looks out over rolling hills . <end>
2851304910_b5721199bc.jpg	<start> A woman with a camera on a tripod is looking at the view . <end>
2851304910_b5721199bc.jpg	<start> Lady in red shirt has her camera set up in the field to record something . <end>
3423802527_94bd2b23b0.jpg	<start> A bunch of girls in cheerleader outfits . <end>
3423802527_94bd2b23b0.jpg	<start> a large group of cheerleaders walking in a parade <end>
3423802527_94bd2b23b0.jpg	<start> Cheerleaders perform . <end>
3423802527_94bd2b23b0.jpg	<start> many cheerleaders wearing black , walk down the street . <end>
3423802527_94bd2b23b0.jpg	<start> Parade of cheerleaders wearing black , pink and white uniforms . <end>
3356369156_074750c6cc.jpg	<start> A blue boat with a yellow canopy is floating on calm waters . <end>
3356369156_074750c6cc.jpg	<start> A boat in the water . <end>
3356369156_074750c6cc.jpg	<start> A boat with a roof on green water . <end>
3356369156_074750c6cc.jpg	<start> The boat is in the middle of the water . <end>
3356369156_074750c6cc.jpg	<start> The solitude boat floats on the lake . <end>
2294598473_40637b5c04.jpg	<start> A dog catches a Frisbee in midair . <end>
2294598473_40637b5c04.jpg	<start> A dog catching a Frisbee . <end>
2294598473_40637b5c04.jpg	<start> A terrier mix catches a Frisbee in the air . <end>
2294598473_40637b5c04.jpg	<start> A white and black dog catching a Frisbee . <end>
2294598473_40637b5c04.jpg	<start> A white dog is leaping in the air with a green object in its mouth . <end>
1191338263_a4fa073154.jpg	<start> A little old lady sitting next to an advertisement . <end>
1191338263_a4fa073154.jpg	<start> An Asian woman waiting at an underground train stop . <end>
1191338263_a4fa073154.jpg	<start> An old woman sits in a transit station next to a backlit advertisement . <end>
1191338263_a4fa073154.jpg	<start> A woman sits in a subway station . <end>
1191338263_a4fa073154.jpg	<start> A woman with an umbrella is sitting at a station , with an Aquos commercial on the wall . <end>
2380765956_6313d8cae3.jpg	<start> A blond girl wearing a green jacket walks on a trail along side a metal fence . <end>
2380765956_6313d8cae3.jpg	<start> A girl in a green coat walks down a rural road playing a flute <end>
2380765956_6313d8cae3.jpg	<start> A young girl in a parka playing a flute while walking by a fenced in field . <end>
2380765956_6313d8cae3.jpg	<start> Girl in green and blue jacket walking past an enclosed field . <end>
2380765956_6313d8cae3.jpg	<start> Girl playing flute as she walks by fence in rural area . <end>
3197891333_b1b0fd1702.jpg	<start> A family of nine people , including four children , pose in front of a brick fireplace with a white mantle . <end>
3197891333_b1b0fd1702.jpg	<start> A family poses in front of the fireplace and Christmas tree . <end>
3197891333_b1b0fd1702.jpg	<start> A family posing by the mantle and christmas tree . <end>
3197891333_b1b0fd1702.jpg	<start> A happy family poses by the fireplace . <end>
3197891333_b1b0fd1702.jpg	<start> Two couples and four kids pose for a family picture . <end>
3119887967_271a097464.jpg	<start> Man in a sweater pointing at the camera . <end>
3119887967_271a097464.jpg	<start> One man is posing with arms outstretched and finger pointed while another stares from behind him . <end>
3119887967_271a097464.jpg	<start> The man in the black hat stands behind the man who is pointing his finger . <end>
3119887967_271a097464.jpg	<start> Two men look toward the camera , while the one in front points his index finger . <end>
3119887967_271a097464.jpg	<start> Two men , one wearing a black hat while the one in front points , standing in a hallway . <end>
2276499757_b44dc6f8ce.jpg	<start> A dog looks warily at the brown dog investigating his area . <end>
2276499757_b44dc6f8ce.jpg	<start> A large brown dog is looking at a medium sized black dog . <end>
2276499757_b44dc6f8ce.jpg	<start> A small black dog looks at a larger brown dog in a grassy field . <end>
2276499757_b44dc6f8ce.jpg	<start> The big brown dog looks at the small black dog in tall grass . <end>
2276499757_b44dc6f8ce.jpg	<start> There is a big dog looking at a little dog . <end>
2506892928_7e79bec613.jpg	<start> three children in a field with white flowers <end>
2506892928_7e79bec613.jpg	<start> Three children , one with a stuffed kitten , in a field of flowers . <end>
2506892928_7e79bec613.jpg	<start> three children play in the garden . <end>
2506892928_7e79bec613.jpg	<start> Three children pose among wildflowers . <end>
2506892928_7e79bec613.jpg	<start> Three kids palying with a toy cat in a garden . <end>
2187222896_c206d63396.jpg	<start> a boy in a red shirt , in front of a long blue wall , raises his eyebrow at the camera <end>
2187222896_c206d63396.jpg	<start> A boy in a red shirt with stripes standing near a blue , brick wall with handicap signs . <end>
2187222896_c206d63396.jpg	<start> An African American boy stands in front of a blue building in the handicapped space . <end>
2187222896_c206d63396.jpg	<start> The boy in the orange shirt looks backwards . <end>
2187222896_c206d63396.jpg	<start> The boy in the red shirt is next to a blue wall . <end>
2826769554_85c90864c9.jpg	<start> A brown dog is carrying a wet stick on the shore of the ocean . <end>
2826769554_85c90864c9.jpg	<start> A dog bounds across the sandy beach with a stick in his mouth and water splashing off his paws . <end>
2826769554_85c90864c9.jpg	<start> A wet , blond dog carries a stick on the shore . <end>
2826769554_85c90864c9.jpg	<start> The dog is running along the beach next to the ocean with a stick in its mouth . <end>
2826769554_85c90864c9.jpg	<start> The wet , brown dog has a stick in his mouth and is running in the sand next to the water . <end>
3097196395_ec06075389.jpg	<start> Two dogs are racing on a ractrack . <end>
